Gmt time,Open,High,Low,Close,Volume
05.01.2009 00:00:00.000,0.71268,0.71664,0.69772,0.69836,25866
06.01.2009 00:00:00.000,0.69859,0.70921,0.69428,0.70551,25866.5996
07.01.2009 00:00:00.000,0.70541,0.71272,0.70112,0.70359,25919.4004
08.01.2009 00:00:00.000,0.70363,0.71008,0.69852,0.70248,25921.8008
09.01.2009 00:00:00.000,0.70133,0.70865,0.69705,0.70175,24623.1992
10.01.2009 00:00:00.000,0.70175,0.70175,0.70175,0.70175,0
11.01.2009 00:00:00.000,0.70308,0.70310,0.69646,0.69947,2627.8
12.01.2009 00:00:00.000,0.69945,0.70574,0.68978,0.69537,25866.5996
13.01.2009 00:00:00.000,0.69493,0.69635,0.67097,0.67601,26095.5996
14.01.2009 00:00:00.000,0.67562,0.67830,0.66425,0.67609,26048.1992
15.01.2009 00:00:00.000,0.67595,0.67975,0.66228,0.67596,26164
16.01.2009 00:00:00.000,0.67610,0.68389,0.67371,0.67892,24917.4004
17.01.2009 00:00:00.000,0.67892,0.67892,0.67892,0.67892,0
18.01.2009 00:00:00.000,0.68035,0.68591,0.67870,0.68294,2240
19.01.2009 00:00:00.000,0.68307,0.68663,0.66961,0.67274,25775.5996
20.01.2009 00:00:00.000,0.67423,0.67423,0.65350,0.65660,26017
21.01.2009 00:00:00.000,0.65668,0.67225,0.65476,0.66662,26148.1992
22.01.2009 00:00:00.000,0.66653,0.67155,0.65732,0.66026,26034
23.01.2009 00:00:00.000,0.66042,0.66464,0.64904,0.65035,24802.8008
24.01.2009 00:00:00.000,0.65035,0.65035,0.65035,0.65035,0
25.01.2009 00:00:00.000,0.65348,0.65410,0.64787,0.65071,2129
26.01.2009 00:00:00.000,0.65074,0.65529,0.63860,0.64608,25885.5996
27.01.2009 00:00:00.000,0.64614,0.65109,0.64283,0.64682,25958.5996
28.01.2009 00:00:00.000,0.64670,0.65173,0.63178,0.63421,26125.4004
29.01.2009 00:00:00.000,0.63319,0.63508,0.62547,0.62746,26072.4004
30.01.2009 00:00:00.000,0.62775,0.63098,0.62108,0.62360,24807
31.01.2009 00:00:00.000,0.62360,0.62360,0.62360,0.62360,0
01.02.2009 00:00:00.000,0.62518,0.62610,0.62125,0.62347,2195.8
02.02.2009 00:00:00.000,0.62352,0.62954,0.61474,0.62549,25778.8008
03.02.2009 00:00:00.000,0.62539,0.63466,0.62525,0.62817,26011.4004
04.02.2009 00:00:00.000,0.62808,0.63209,0.62175,0.62625,25880.1992
05.02.2009 00:00:00.000,0.62613,0.63828,0.62330,0.63432,25892.8008
06.02.2009 00:00:00.000,0.63435,0.65876,0.63131,0.64777,24778.5996
07.02.2009 00:00:00.000,0.64777,0.64777,0.64777,0.64777,0
08.02.2009 00:00:00.000,0.64528,0.64993,0.64450,0.64910,2596.8
09.02.2009 00:00:00.000,0.64757,0.66427,0.63957,0.65100,25948
10.02.2009 00:00:00.000,0.65123,0.65818,0.64600,0.65089,25930
11.02.2009 00:00:00.000,0.65129,0.65845,0.64870,0.65056,25940
12.02.2009 00:00:00.000,0.65030,0.65849,0.64286,0.64887,25826.4004
13.02.2009 00:00:00.000,0.64900,0.65536,0.64267,0.64435,24347.1992
14.02.2009 00:00:00.000,0.64435,0.64435,0.64435,0.64435,0
15.02.2009 00:00:00.000,0.64517,0.64772,0.64271,0.64583,2918.8
16.02.2009 00:00:00.000,0.64698,0.64821,0.64079,0.64570,25748
17.02.2009 00:00:00.000,0.64581,0.64609,0.63458,0.64158,26234.5996
18.02.2009 00:00:00.000,0.64148,0.64814,0.63928,0.64316,26059.1992
19.02.2009 00:00:00.000,0.64321,0.64781,0.63712,0.63892,25958.4004
20.02.2009 00:00:00.000,0.63897,0.64362,0.63162,0.63985,24894.4004
21.02.2009 00:00:00.000,0.63985,0.63985,0.63985,0.63985,0
22.02.2009 00:00:00.000,0.63568,0.64058,0.63505,0.63704,2734.8
23.02.2009 00:00:00.000,0.63700,0.64258,0.63259,0.63290,26110.5996
24.02.2009 00:00:00.000,0.63327,0.64204,0.63114,0.63765,26044.8008
25.02.2009 00:00:00.000,0.63708,0.64500,0.63595,0.63824,25970.8008
26.02.2009 00:00:00.000,0.63802,0.64189,0.63336,0.63506,26126.4004
27.02.2009 00:00:00.000,0.63530,0.63965,0.63046,0.63782,24874
28.02.2009 00:00:00.000,0.63782,0.63782,0.63782,0.63782,0
01.03.2009 00:00:00.000,0.63488,0.63869,0.63246,0.63329,2942
02.03.2009 00:00:00.000,0.63330,0.63740,0.62724,0.63520,26077.4004
03.03.2009 00:00:00.000,0.63515,0.64615,0.63419,0.63870,25972.5996
04.03.2009 00:00:00.000,0.63851,0.64797,0.63343,0.64259,26045.5996
05.03.2009 00:00:00.000,0.64255,0.64580,0.63914,0.64166,25958.8008
06.03.2009 00:00:00.000,0.64164,0.65004,0.64108,0.64555,24882.4004
07.03.2009 00:00:00.000,0.64555,0.64555,0.64555,0.64555,0
08.03.2009 00:00:00.000,0.64578,0.64844,0.64494,0.64820,2345.3999
09.03.2009 00:00:00.000,0.64731,0.64901,0.63820,0.64195,25912
10.03.2009 00:00:00.000,0.64192,0.64779,0.63996,0.64770,26020
11.03.2009 00:00:00.000,0.64687,0.65990,0.63945,0.65830,26086.1992
12.03.2009 00:00:00.000,0.65838,0.66811,0.65544,0.66499,26106.5996
13.03.2009 00:00:00.000,0.66500,0.67142,0.66185,0.66687,23991.8008
14.03.2009 00:00:00.000,0.66687,0.66687,0.66687,0.66687,0
15.03.2009 00:00:00.000,0.66507,0.66830,0.66377,0.66788,3148.8
16.03.2009 00:00:00.000,0.66692,0.67721,0.66555,0.67236,25927
17.03.2009 00:00:00.000,0.67243,0.67666,0.66959,0.67221,25699.8008
18.03.2009 00:00:00.000,0.67245,0.68129,0.66787,0.67859,26229.5996
19.03.2009 00:00:00.000,0.67854,0.69153,0.67338,0.69034,26229.5996
20.03.2009 00:00:00.000,0.69040,0.69551,0.68838,0.69230,24070.4004
21.03.2009 00:00:00.000,0.69230,0.69230,0.69230,0.69230,0
22.03.2009 00:00:00.000,0.69237,0.69466,0.69087,0.69320,3062.3999
23.03.2009 00:00:00.000,0.69342,0.70239,0.69275,0.69802,26230.1992
24.03.2009 00:00:00.000,0.69819,0.70089,0.68968,0.69143,26267.4004
25.03.2009 00:00:00.000,0.69112,0.70111,0.68540,0.69867,26225.4004
26.03.2009 00:00:00.000,0.69866,0.71384,0.69824,0.70979,26286
27.03.2009 00:00:00.000,0.71008,0.71012,0.70300,0.70697,24179.8008
28.03.2009 00:00:00.000,0.70697,0.70697,0.70697,0.70697,0
29.03.2009 00:00:00.000,0.70748,0.70770,0.70085,0.70278,2941.3999
30.03.2009 00:00:00.000,0.70272,0.71081,0.69843,0.70820,26271.1992
31.03.2009 00:00:00.000,0.70815,0.72067,0.70346,0.70625,26351.4004
01.04.2009 00:00:00.000,0.70572,0.71746,0.70156,0.71250,26279.4004
02.04.2009 00:00:00.000,0.71227,0.72768,0.70916,0.72647,26323.8008
03.04.2009 00:00:00.000,0.72662,0.72877,0.71394,0.71957,24241.5996
04.04.2009 00:00:00.000,0.71957,0.71957,0.71957,0.71957,0
05.04.2009 00:00:00.000,0.72027,0.72769,0.71821,0.72593,3010
06.04.2009 00:00:00.000,0.72589,0.73126,0.71944,0.72136,26234.4004
07.04.2009 00:00:00.000,0.72109,0.72508,0.70940,0.71164,26264.4004
08.04.2009 00:00:00.000,0.71167,0.71700,0.70793,0.71534,26171.5996
09.04.2009 00:00:00.000,0.71539,0.72045,0.71100,0.71273,25907.5996
10.04.2009 00:00:00.000,0.71273,0.71635,0.71085,0.71400,19552
11.04.2009 00:00:00.000,0.71400,0.71400,0.71400,0.71400,0
12.04.2009 00:00:00.000,0.71477,0.72030,0.71265,0.71690,2677
13.04.2009 00:00:00.000,0.71694,0.72334,0.71415,0.72115,24328.8008
14.04.2009 00:00:00.000,0.72116,0.72239,0.70568,0.70662,26282.1992
15.04.2009 00:00:00.000,0.70666,0.70834,0.69121,0.69577,26260.5996
16.04.2009 00:00:00.000,0.69570,0.69618,0.68484,0.69329,26299.5996
17.04.2009 00:00:00.000,0.69285,0.69478,0.68511,0.68820,24317.8008
18.04.2009 00:00:00.000,0.68820,0.68820,0.68820,0.68820,0
19.04.2009 00:00:00.000,0.68787,0.69155,0.68633,0.68900,2628.2
20.04.2009 00:00:00.000,0.68898,0.69153,0.67881,0.68424,26247.1992
21.04.2009 00:00:00.000,0.68425,0.69798,0.68342,0.69147,26247.1992
22.04.2009 00:00:00.000,0.69132,0.69315,0.68623,0.68779,26223.5996
23.04.2009 00:00:00.000,0.68795,0.69327,0.68306,0.68648,26244
24.04.2009 00:00:00.000,0.68632,0.69428,0.68552,0.69147,24351
25.04.2009 00:00:00.000,0.69147,0.69147,0.69147,0.69147,0
26.04.2009 00:00:00.000,0.69127,0.69230,0.68363,0.68697,2905.2
27.04.2009 00:00:00.000,0.68704,0.69319,0.68402,0.68529,26366.4004
28.04.2009 00:00:00.000,0.68529,0.68555,0.67470,0.68493,26334.4004
29.04.2009 00:00:00.000,0.68482,0.69353,0.67740,0.67860,26270.5996
30.04.2009 00:00:00.000,0.67866,0.68319,0.67165,0.67537,26338.1992
01.05.2009 00:00:00.000,0.67544,0.68128,0.67106,0.67507,24303.1992
02.05.2009 00:00:00.000,0.67507,0.67507,0.67507,0.67507,0
03.05.2009 00:00:00.000,0.67718,0.68087,0.67392,0.67863,3015.8
04.05.2009 00:00:00.000,0.67840,0.68035,0.67316,0.67651,26309.1992
05.05.2009 00:00:00.000,0.67651,0.68602,0.67396,0.68119,26236.5996
06.05.2009 00:00:00.000,0.68034,0.68778,0.67853,0.68522,26333.8008
07.05.2009 00:00:00.000,0.68595,0.69794,0.68208,0.69426,26405.4004
08.05.2009 00:00:00.000,0.69434,0.69662,0.68571,0.69300,24329
09.05.2009 00:00:00.000,0.69300,0.69300,0.69300,0.69300,0
10.05.2009 00:00:00.000,0.69317,0.69738,0.69210,0.69717,2639.6001
11.05.2009 00:00:00.000,0.69732,0.70367,0.69416,0.69928,26272.1992
12.05.2009 00:00:00.000,0.69917,0.70648,0.69596,0.70228,26217.8008
13.05.2009 00:00:00.000,0.70224,0.70595,0.69082,0.69480,26249
14.05.2009 00:00:00.000,0.69475,0.69964,0.68960,0.69483,26226
15.05.2009 00:00:00.000,0.69459,0.69576,0.68670,0.68807,24237.1992
16.05.2009 00:00:00.000,0.68807,0.68807,0.68807,0.68807,0
17.05.2009 00:00:00.000,0.68757,0.69119,0.68532,0.68912,2955.6001
18.05.2009 00:00:00.000,0.68915,0.69467,0.68568,0.69246,26138.1992
19.05.2009 00:00:00.000,0.69268,0.70103,0.69164,0.69567,26092
20.05.2009 00:00:00.000,0.69563,0.69920,0.68851,0.69170,26053.5996
21.05.2009 00:00:00.000,0.69163,0.69774,0.68840,0.69664,26207.8008
22.05.2009 00:00:00.000,0.69720,0.70030,0.69219,0.69340,24208.4004
23.05.2009 00:00:00.000,0.69340,0.69340,0.69340,0.69340,0
24.05.2009 00:00:00.000,0.69198,0.69311,0.68622,0.69181,2898.8
25.05.2009 00:00:00.000,0.69165,0.69806,0.69068,0.69691,26033.5996
26.05.2009 00:00:00.000,0.69685,0.69902,0.69040,0.69395,26091.5996
27.05.2009 00:00:00.000,0.69402,0.69448,0.68754,0.68992,26101
28.05.2009 00:00:00.000,0.68984,0.69969,0.68557,0.69541,25985.8008
29.05.2009 00:00:00.000,0.69546,0.70201,0.69360,0.69780,24124.5996
30.05.2009 00:00:00.000,0.69780,0.69780,0.69780,0.69780,0
31.05.2009 00:00:00.000,0.69798,0.70087,0.69528,0.69712,2863.8
01.06.2009 00:00:00.000,0.69722,0.71229,0.69573,0.70617,26059.5996
02.06.2009 00:00:00.000,0.70637,0.71265,0.70491,0.70803,26034.5996
