Gmt time,Open,High,Low,Close,Volume
05.01.2009 00:00:00.000,54.319,55.169,53.598,54.822,25450.1992
06.01.2009 00:00:00.000,54.822,56.277,54.287,55.628,25462.8008
07.01.2009 00:00:00.000,55.632,56.208,54.470,54.549,25477.5996
08.01.2009 00:00:00.000,54.542,54.681,53.272,54.279,25456.8008
09.01.2009 00:00:00.000,54.268,54.375,53.125,53.427,24152
10.01.2009 00:00:00.000,53.427,53.427,53.427,53.427,0
11.01.2009 00:00:00.000,53.390,53.510,52.804,52.980,3450
12.01.2009 00:00:00.000,52.976,53.053,51.040,51.108,25441.1992
13.01.2009 00:00:00.000,51.109,51.116,48.517,49.357,25467.4004
14.01.2009 00:00:00.000,49.349,50.199,47.844,48.372,25430.5996
15.01.2009 00:00:00.000,48.380,48.764,47.127,48.590,25503.8008
16.01.2009 00:00:00.000,48.586,49.973,48.500,49.587,24285.8008
17.01.2009 00:00:00.000,49.587,49.587,49.587,49.587,0
18.01.2009 00:00:00.000,49.650,50.379,49.545,50.289,3090.3999
19.01.2009 00:00:00.000,50.295,50.452,48.320,48.654,25391.5996
20.01.2009 00:00:00.000,48.649,48.681,46.288,46.599,25445.1992
21.01.2009 00:00:00.000,46.605,47.898,45.092,47.124,25462.5996
22.01.2009 00:00:00.000,47.119,47.569,46.170,46.992,25450.8008
23.01.2009 00:00:00.000,46.983,47.360,45.610,46.980,24056.8008
24.01.2009 00:00:00.000,46.980,46.980,46.980,46.980,0
25.01.2009 00:00:00.000,47.030,47.242,46.405,46.487,2974
26.01.2009 00:00:00.000,46.510,47.694,46.201,47.152,25408.1992
27.01.2009 00:00:00.000,47.154,47.941,46.452,47.164,25403
28.01.2009 00:00:00.000,47.163,48.498,46.767,47.228,25442.8008
29.01.2009 00:00:00.000,47.225,47.327,45.907,46.071,25442.5996
30.01.2009 00:00:00.000,46.094,46.122,45.237,45.690,24199.1992
31.01.2009 00:00:00.000,45.690,45.690,45.690,45.690,0
01.02.2009 00:00:00.000,45.583,45.823,45.457,45.546,3023
02.02.2009 00:00:00.000,45.542,45.586,44.207,44.871,25393.4004
03.02.2009 00:00:00.000,44.864,46.038,44.813,45.564,25395.8008
04.02.2009 00:00:00.000,45.555,46.107,44.696,45.517,25407.8008
05.02.2009 00:00:00.000,45.501,47.955,45.150,46.987,25438.4004
06.02.2009 00:00:00.000,46.995,49.380,46.428,48.793,24079.1992
07.02.2009 00:00:00.000,48.793,48.793,48.793,48.793,0
08.02.2009 00:00:00.000,48.660,49.081,48.409,48.891,3380.2
09.02.2009 00:00:00.000,48.855,49.868,47.641,48.760,25384
