Gmt time,Open,High,Low,Close,Volume
05.01.2009 00:00:00.000,0.88840,0.93420,0.88630,0.93290,1176
06.01.2009 00:00:00.000,0.93250,0.94480,0.92930,0.94210,951
07.01.2009 00:00:00.000,0.94240,0.94360,0.91300,0.92250,888
08.01.2009 00:00:00.000,0.92300,0.92700,0.91420,0.92600,1115
09.01.2009 00:00:00.000,0.92610,0.93970,0.92280,0.93750,855
10.01.2009 00:00:00.000,0.93750,0.93750,0.93750,0.93750,0
11.01.2009 00:00:00.000,0.93820,0.93880,0.93240,0.93520,565
12.01.2009 00:00:00.000,0.93580,0.93920,0.91390,0.91590,1051
13.01.2009 00:00:00.000,0.91610,0.91860,0.90920,0.91170,866
14.01.2009 00:00:00.000,0.91300,0.91850,0.89290,0.89420,398
15.01.2009 00:00:00.000,0.89370,0.89870,0.89260,0.89610,369
16.01.2009 00:00:00.000,0.89560,0.90090,0.89400,0.89970,417
17.01.2009 00:00:00.000,0.89970,0.89970,0.89970,0.89970,0
18.01.2009 00:00:00.000,0.90370,0.90370,0.89310,0.89870,1439
19.01.2009 00:00:00.000,0.89930,0.90580,0.89810,0.90280,1154
20.01.2009 00:00:00.000,0.90290,0.90870,0.90130,0.90640,555
21.01.2009 00:00:00.000,0.90620,0.91920,0.90350,0.91560,628
22.01.2009 00:00:00.000,0.91550,0.92080,0.91430,0.92080,425
23.01.2009 00:00:00.000,0.92070,0.93800,0.91960,0.93770,582
24.01.2009 00:00:00.000,0.93770,0.93770,0.93770,0.93770,0
25.01.2009 00:00:00.000,0.93570,0.93850,0.93300,0.93730,410
26.01.2009 00:00:00.000,0.93690,0.94410,0.92700,0.92970,851
27.01.2009 00:00:00.000,0.93110,0.93200,0.92640,0.93000,789
28.01.2009 00:00:00.000,0.92970,0.95200,0.92600,0.95010,453
29.01.2009 00:00:00.000,0.94890,0.94890,0.93990,0.94230,604
30.01.2009 00:00:00.000,0.94160,0.94520,0.93730,0.94480,758
31.01.2009 00:00:00.000,0.94480,0.94480,0.94480,0.94480,0
01.02.2009 00:00:00.000,0.94230,0.94780,0.94100,0.94660,764
02.02.2009 00:00:00.000,0.94600,0.94760,0.93140,0.93230,881
03.02.2009 00:00:00.000,0.93250,0.93490,0.92630,0.92850,901
04.02.2009 00:00:00.000,0.92780,0.94480,0.92740,0.94030,736
05.02.2009 00:00:00.000,0.94020,0.95150,0.93840,0.95110,618
06.02.2009 00:00:00.000,0.95090,0.95270,0.94420,0.95160,988
07.02.2009 00:00:00.000,0.95160,0.95160,0.95160,0.95160,0
08.02.2009 00:00:00.000,0.94220,0.95240,0.94220,0.95060,612
09.02.2009 00:00:00.000,0.95050,0.95720,0.94780,0.95640,951
10.02.2009 00:00:00.000,0.95570,0.96130,0.92790,0.93160,626
