Gmt time,Open,High,Low,Close,Volume
31.10.2003 00:00:00.000,1.31512,1.32206,1.31330,1.31937,179889.4531
01.11.2003 00:00:00.000,1.31937,1.31937,1.31937,1.31937,0
02.11.2003 00:00:00.000,1.31882,1.32015,1.31825,1.31989,4454
03.11.2003 00:00:00.000,1.31977,1.33777,1.31955,1.33369,177510.125
04.11.2003 00:00:00.000,1.33360,1.34298,1.32771,1.33030,191129.6563
05.11.2003 00:00:00.000,1.33023,1.33544,1.32764,1.33390,188479.1875
06.11.2003 00:00:00.000,1.33383,1.34168,1.33150,1.34092,187841.0625
07.11.2003 00:00:00.000,1.34097,1.34166,1.32080,1.32167,170915.9375
08.11.2003 00:00:00.000,1.32167,1.32167,1.32167,1.32167,0
09.11.2003 00:00:00.000,1.32155,1.32384,1.32132,1.32340,7050.1001
10.11.2003 00:00:00.000,1.32333,1.32416,1.30813,1.31225,180260.4375
11.11.2003 00:00:00.000,1.31210,1.31529,1.31047,1.31315,177638.1094
12.11.2003 00:00:00.000,1.31311,1.31336,1.29764,1.30317,182824.1563
13.11.2003 00:00:00.000,1.30306,1.30491,1.29485,1.29747,189167.2188
14.11.2003 00:00:00.000,1.29741,1.30418,1.29573,1.30239,172194.7813
15.11.2003 00:00:00.000,1.30239,1.30239,1.30239,1.30239,0
16.11.2003 00:00:00.000,1.30222,1.30270,1.29986,1.30104,7285
17.11.2003 00:00:00.000,1.30096,1.31481,1.29889,1.31385,194109.75
18.11.2003 00:00:00.000,1.31392,1.31709,1.29627,1.29985,193028.8438
19.11.2003 00:00:00.000,1.29974,1.30645,1.29719,1.30323,195538.125
20.11.2003 00:00:00.000,1.30295,1.30580,1.29860,1.30320,186529.7031
21.11.2003 00:00:00.000,1.30315,1.30978,1.29982,1.30190,177526.4063
22.11.2003 00:00:00.000,1.30190,1.30190,1.30190,1.30190,0
23.11.2003 00:00:00.000,1.30195,1.30314,1.30145,1.30284,7640.7002
24.11.2003 00:00:00.000,1.30276,1.32217,1.30083,1.31697,181246.2813
25.11.2003 00:00:00.000,1.31713,1.31947,1.30850,1.31096,184947.0469
26.11.2003 00:00:00.000,1.31096,1.31272,1.29992,1.30410,177498.25
27.11.2003 00:00:00.000,1.30415,1.30967,1.30363,1.30687,159967.8281
28.11.2003 00:00:00.000,1.30681,1.30964,1.29278,1.30039,171484.7656
29.11.2003 00:00:00.000,1.30039,1.30039,1.30039,1.30039,0
30.11.2003 00:00:00.000,1.30008,1.30008,1.29717,1.29770,7556.6001
01.12.2003 00:00:00.000,1.29771,1.30435,1.29668,1.30397,187212.4531
02.12.2003 00:00:00.000,1.30388,1.30818,1.29530,1.29619,197436.9375
03.12.2003 00:00:00.000,1.29616,1.30139,1.29416,1.30020,180910.4219
04.12.2003 00:00:00.000,1.30044,1.31423,1.29965,1.31102,189593.6875
05.12.2003 00:00:00.000,1.31089,1.31435,1.30179,1.30421,176287.8281
06.12.2003 00:00:00.000,1.30421,1.30421,1.30421,1.30421,0
07.12.2003 00:00:00.000,1.30418,1.30614,1.30385,1.30460,4116.7002
08.12.2003 00:00:00.000,1.30458,1.30495,1.29502,1.29710,187708.3125
09.12.2003 00:00:00.000,1.29718,1.31335,1.29589,1.30685,188030.2969
10.12.2003 00:00:00.000,1.30694,1.31254,1.30451,1.30892,184090.6094
11.12.2003 00:00:00.000,1.30888,1.32983,1.30780,1.31623,195066.1563
12.12.2003 00:00:00.000,1.31615,1.32014,1.30902,1.31499,173651.7031
13.12.2003 00:00:00.000,1.31499,1.31499,1.31499,1.31499,0
14.12.2003 00:00:00.000,1.32232,1.32576,1.31956,1.32268,13884.0996
15.12.2003 00:00:00.000,1.32263,1.32287,1.30985,1.31327,192454.2344
16.12.2003 00:00:00.000,1.31277,1.32887,1.31197,1.32593,197553.7656
17.12.2003 00:00:00.000,1.32585,1.33579,1.32299,1.32668,200197.375
18.12.2003 00:00:00.000,1.32638,1.33266,1.32211,1.33218,192121.5469
19.12.2003 00:00:00.000,1.33204,1.34185,1.32942,1.33552,186282.3438
20.12.2003 00:00:00.000,1.33552,1.33552,1.33552,1.33552,0
21.12.2003 00:00:00.000,1.33475,1.33659,1.33379,1.33642,9513.0996
22.12.2003 00:00:00.000,1.33640,1.33800,1.32767,1.33064,185565.8125
23.12.2003 00:00:00.000,1.33063,1.33152,1.31888,1.32098,175857.2656
24.12.2003 00:00:00.000,1.32058,1.32255,1.30571,1.30688,158099.8594
25.12.2003 00:00:00.000,1.30690,1.31213,1.30682,1.30980,16318.5996
26.12.2003 00:00:00.000,1.30961,1.31051,1.30317,1.30623,128387.5234
27.12.2003 00:00:00.000,1.30623,1.30623,1.30623,1.30623,0
28.12.2003 00:00:00.000,1.30920,1.31149,1.30700,1.31116,7142.7998
29.12.2003 00:00:00.000,1.31121,1.31473,1.30473,1.30897,186679.6563
30.12.2003 00:00:00.000,1.30894,1.31232,1.29037,1.29375,180479.2188
31.12.2003 00:00:00.000,1.29381,1.29952,1.28362,1.29270,169697.8438
01.01.2004 00:00:00.000,1.29270,1.29666,1.29054,1.29468,9913.5996
02.01.2004 00:00:00.000,1.29471,1.29785,1.28609,1.28758,166478.75
03.01.2004 00:00:00.000,1.28758,1.28758,1.28758,1.28758,0
04.01.2004 00:00:00.000,1.28741,1.28783,1.28563,1.28628,7231.3999
05.01.2004 00:00:00.000,1.28623,1.28889,1.27722,1.28094,192273.4688
06.01.2004 00:00:00.000,1.28081,1.28714,1.27653,1.28662,185942.6563
07.01.2004 00:00:00.000,1.28662,1.29235,1.28385,1.28873,191858.4375
08.01.2004 00:00:00.000,1.28892,1.29471,1.27486,1.27852,188710.5938
09.01.2004 00:00:00.000,1.27833,1.28304,1.26768,1.27133,174062.9219
10.01.2004 00:00:00.000,1.27133,1.27133,1.27133,1.27133,0
11.01.2004 00:00:00.000,1.27076,1.27151,1.26964,1.27141,11451.5
12.01.2004 00:00:00.000,1.27143,1.27660,1.26835,1.27587,184595.9375
13.01.2004 00:00:00.000,1.27594,1.27821,1.26869,1.27081,194120.7031
14.01.2004 00:00:00.000,1.27055,1.29117,1.27055,1.28927,191496.4375
15.01.2004 00:00:00.000,1.28905,1.29898,1.28668,1.29527,188786.8281
16.01.2004 00:00:00.000,1.29512,1.30213,1.29295,1.29866,181737.0313
17.01.2004 00:00:00.000,1.29866,1.29866,1.29866,1.29866,0
18.01.2004 00:00:00.000,1.29810,1.29934,1.29810,1.29885,11710.9004
19.01.2004 00:00:00.000,1.29906,1.30425,1.29835,1.30144,182001.7344
20.01.2004 00:00:00.000,1.30133,1.30322,1.28475,1.29141,188877.7344
21.01.2004 00:00:00.000,1.29149,1.30405,1.28627,1.29985,193972.0469
22.01.2004 00:00:00.000,1.30005,1.30537,1.29259,1.29452,193249
23.01.2004 00:00:00.000,1.29444,1.31933,1.29373,1.31325,190002.0156
24.01.2004 00:00:00.000,1.31325,1.31325,1.31325,1.31325,0
25.01.2004 00:00:00.000,1.31331,1.31521,1.31277,1.31454,11897
26.01.2004 00:00:00.000,1.31452,1.31600,1.30785,1.31194,192015.2188
27.01.2004 00:00:00.000,1.31253,1.31637,1.30322,1.30634,188399.9063
28.01.2004 00:00:00.000,1.30643,1.32849,1.30533,1.32628,200138.2344
29.01.2004 00:00:00.000,1.32622,1.33586,1.32427,1.33013,229614.4375
30.01.2004 00:00:00.000,1.33017,1.33522,1.32254,1.32487,186357.1406
31.01.2004 00:00:00.000,1.32487,1.32487,1.32487,1.32487,0
01.02.2004 00:00:00.000,1.32468,1.32600,1.32385,1.32546,4990
02.02.2004 00:00:00.000,1.32543,1.34256,1.32398,1.33652,188748.0938
03.02.2004 00:00:00.000,1.33642,1.33820,1.32732,1.33616,198639.3906
04.02.2004 00:00:00.000,1.33660,1.34265,1.33097,1.33330,196055.9375
05.02.2004 00:00:00.000,1.33321,1.33947,1.32832,1.33745,189406.5469
06.02.2004 00:00:00.000,1.33716,1.34073,1.32302,1.32350,182757.8594
07.02.2004 00:00:00.000,1.32350,1.32350,1.32350,1.32350,0
08.02.2004 00:00:00.000,1.32481,1.33049,1.32439,1.32857,12608.5
09.02.2004 00:00:00.000,1.32854,1.33076,1.32141,1.32783,200882.3438
10.02.2004 00:00:00.000,1.32775,1.33281,1.32140,1.33050,208809.0313
11.02.2004 00:00:00.000,1.33054,1.33403,1.31183,1.31475,202802.6563
12.02.2004 00:00:00.000,1.31487,1.32154,1.31376,1.31860,193144.0156
13.02.2004 00:00:00.000,1.31863,1.32309,1.30659,1.31628,206171.0313
14.02.2004 00:00:00.000,1.31628,1.31628,1.31628,1.31628,0
15.02.2004 00:00:00.000,1.31619,1.31726,1.31460,1.31705,11896.2998
16.02.2004 00:00:00.000,1.31649,1.31923,1.31368,1.31697,188851.9375
17.02.2004 00:00:00.000,1.31697,1.31714,1.30738,1.31001,193830.4688
18.02.2004 00:00:00.000,1.31001,1.32679,1.30805,1.32247,194930.9375
19.02.2004 00:00:00.000,1.32238,1.33449,1.32174,1.32775,201660.2031
20.02.2004 00:00:00.000,1.32824,1.35070,1.32699,1.33432,192224.5469
21.02.2004 00:00:00.000,1.33432,1.33432,1.33432,1.33432,0
22.02.2004 00:00:00.000,1.33476,1.33778,1.33460,1.33706,8563.4004
23.02.2004 00:00:00.000,1.33698,1.34306,1.33273,1.33495,206768.5625
24.02.2004 00:00:00.000,1.33493,1.33959,1.32570,1.32835,207896.8125
25.02.2004 00:00:00.000,1.32859,1.34024,1.32581,1.33514,197803.625
26.02.2004 00:00:00.000,1.33508,1.34765,1.33409,1.34322,204123.3281
27.02.2004 00:00:00.000,1.34317,1.34998,1.33333,1.33333,187770.1719
28.02.2004 00:00:00.000,1.33333,1.33333,1.33333,1.33333,0
29.02.2004 00:00:00.000,1.33411,1.33706,1.33399,1.33430,16444.9004
01.03.2004 00:00:00.000,1.33426,1.34037,1.33264,1.33721,217662.125
02.03.2004 00:00:00.000,1.33716,1.34524,1.33687,1.34340,201616.4375
03.03.2004 00:00:00.000,1.34343,1.35818,1.33683,1.34073,204388.875
04.03.2004 00:00:00.000,1.34060,1.34276,1.33052,1.33324,201540.7188
05.03.2004 00:00:00.000,1.33316,1.33616,1.31525,1.32117,185845.5469
06.03.2004 00:00:00.000,1.32117,1.32117,1.32117,1.32117,0
07.03.2004 00:00:00.000,1.32053,1.32207,1.31989,1.32105,14235
08.03.2004 00:00:00.000,1.32130,1.32686,1.31695,1.31789,205522.3125
09.03.2004 00:00:00.000,1.31778,1.32632,1.31699,1.32447,205601.9531
10.03.2004 00:00:00.000,1.32439,1.33027,1.31910,1.32432,195137.8594
11.03.2004 00:00:00.000,1.32430,1.32938,1.31607,1.31683,205768.2344
12.03.2004 00:00:00.000,1.31676,1.33843,1.31589,1.33347,193404.5625
13.03.2004 00:00:00.000,1.33347,1.33347,1.33347,1.33347,0
14.03.2004 00:00:00.000,1.33316,1.33540,1.33316,1.33439,16839.4004
15.03.2004 00:00:00.000,1.33438,1.33528,1.32715,1.33331,193719.75
16.03.2004 00:00:00.000,1.33325,1.33485,1.32461,1.33292,199871.5313
17.03.2004 00:00:00.000,1.33290,1.34375,1.32997,1.33891,198185.7656
18.03.2004 00:00:00.000,1.33896,1.34152,1.32397,1.32679,210482.2031
19.03.2004 00:00:00.000,1.32625,1.33428,1.32529,1.33341,178955.7031
20.03.2004 00:00:00.000,1.33341,1.33341,1.33341,1.33341,0
21.03.2004 00:00:00.000,1.33309,1.33403,1.33254,1.33358,12600.5
22.03.2004 00:00:00.000,1.33364,1.33516,1.32392,1.33301,202210.8281
23.03.2004 00:00:00.000,1.33305,1.33491,1.32869,1.33163,189535.6406
24.03.2004 00:00:00.000,1.33173,1.34294,1.32966,1.33816,198645.5156
25.03.2004 00:00:00.000,1.33816,1.34283,1.32600,1.33022,199741.125
26.03.2004 00:00:00.000,1.33001,1.33141,1.31626,1.31778,189846.0625
27.03.2004 00:00:00.000,1.31778,1.31778,1.31778,1.31778,0
28.03.2004 00:00:00.000,1.31780,1.31981,1.31655,1.31921,14442.7998
29.03.2004 00:00:00.000,1.31912,1.32119,1.30537,1.30884,210810.0156
30.03.2004 00:00:00.000,1.30869,1.30968,1.30443,1.30693,189120.3906
31.03.2004 00:00:00.000,1.30685,1.31532,1.30073,1.31169,206359.625
01.04.2004 00:00:00.000,1.31114,1.31895,1.30521,1.30733,206427.8125
02.04.2004 00:00:00.000,1.30719,1.31869,1.30393,1.31395,184531.7656
03.04.2004 00:00:00.000,1.31395,1.31395,1.31395,1.31395,0
04.04.2004 00:00:00.000,1.31349,1.31569,1.31286,1.31543,15499.5
05.04.2004 00:00:00.000,1.31528,1.31763,1.30989,1.31312,198802.2656
06.04.2004 00:00:00.000,1.31332,1.31803,1.30342,1.31108,201778.6094
07.04.2004 00:00:00.000,1.31093,1.31681,1.30561,1.31003,200729.4531
08.04.2004 00:00:00.000,1.31012,1.32925,1.30822,1.32694,198343.9531
09.04.2004 00:00:00.000,1.32692,1.32957,1.32537,1.32753,143809.5781
10.04.2004 00:00:00.000,1.32753,1.32753,1.32753,1.32753,0
11.04.2004 00:00:00.000,1.32738,1.32920,1.32727,1.32794,10435.4004
12.04.2004 00:00:00.000,1.32808,1.34028,1.32576,1.33571,201395.9375
13.04.2004 00:00:00.000,1.33565,1.34120,1.33188,1.33574,208503.9375
14.04.2004 00:00:00.000,1.33572,1.34947,1.33265,1.34445,202069.1563
15.04.2004 00:00:00.000,1.34431,1.34907,1.34023,1.34433,201836.3125
16.04.2004 00:00:00.000,1.34425,1.34835,1.33996,1.34417,188132.6406
17.04.2004 00:00:00.000,1.34417,1.34417,1.34417,1.34417,0
18.04.2004 00:00:00.000,1.34434,1.34563,1.34394,1.34413,13178.2002
19.04.2004 00:00:00.000,1.34408,1.34801,1.34175,1.34572,194624.3438
20.04.2004 00:00:00.000,1.34545,1.35783,1.34472,1.35648,208218.7344
21.04.2004 00:00:00.000,1.35651,1.36329,1.35243,1.35958,203006.0469
22.04.2004 00:00:00.000,1.35956,1.36488,1.35361,1.35544,207491.7031
23.04.2004 00:00:00.000,1.35525,1.36300,1.35101,1.36106,185676.6094
24.04.2004 00:00:00.000,1.36106,1.36106,1.36106,1.36106,0
25.04.2004 00:00:00.000,1.35989,1.36222,1.35964,1.36078,18899.4805
26.04.2004 00:00:00.000,1.36051,1.36242,1.34711,1.35131,216354.0625
27.04.2004 00:00:00.000,1.35128,1.35462,1.34613,1.35203,207691.0156
28.04.2004 00:00:00.000,1.35205,1.37596,1.34907,1.37477,199657.7031
29.04.2004 00:00:00.000,1.37482,1.37602,1.36661,1.37380,197176.8594
30.04.2004 00:00:00.000,1.37390,1.37893,1.36815,1.37183,179353.2344
01.05.2004 00:00:00.000,1.37183,1.37183,1.37183,1.37183,0
02.05.2004 00:00:00.000,1.37142,1.37224,1.36955,1.37048,19305.5
03.05.2004 00:00:00.000,1.37027,1.37652,1.36971,1.37190,199465.2188
04.05.2004 00:00:00.000,1.37175,1.37240,1.36282,1.37160,200079.2188
05.05.2004 00:00:00.000,1.37166,1.37864,1.36731,1.37231,201774.4375
06.05.2004 00:00:00.000,1.37221,1.38045,1.36960,1.37597,201956.7188
07.05.2004 00:00:00.000,1.37612,1.38651,1.37477,1.38393,182987.6563
08.05.2004 00:00:00.000,1.38393,1.38393,1.38393,1.38393,0
09.05.2004 00:00:00.000,1.38333,1.38602,1.38295,1.38592,20039.9004
10.05.2004 00:00:00.000,1.38586,1.39593,1.38569,1.39042,198007.1719
11.05.2004 00:00:00.000,1.39066,1.39158,1.38443,1.38480,205923.7969
12.05.2004 00:00:00.000,1.38511,1.39053,1.38249,1.38652,203904.5625
13.05.2004 00:00:00.000,1.38664,1.39857,1.38625,1.39434,205450.875
14.05.2004 00:00:00.000,1.39432,1.39679,1.38746,1.38963,181979.0469
15.05.2004 00:00:00.000,1.38963,1.38963,1.38963,1.38963,0
16.05.2004 00:00:00.000,1.38773,1.39274,1.38770,1.39263,15404.7998
17.05.2004 00:00:00.000,1.39251,1.39934,1.37432,1.39375,209473.5625
18.05.2004 00:00:00.000,1.39378,1.40003,1.38836,1.39122,200177.1094
19.05.2004 00:00:00.000,1.39126,1.39170,1.37388,1.37699,211485.1094
